	TCGA-BH-A0C7-01	TCGA-C8-A138-01	TCGA-E2-A14Y-01	TCGA-BH-A0EE-01	TCGA-A8-A08G-01	TCGA-A8-A09I-01	TCGA-A8-A07I-01	TCGA-E2-A14V-01	TCGA-E2-A1B1-01	TCGA-E2-A15E-01	TCGA-C8-A26W-01	TCGA-D8-A1JB-01	TCGA-A8-A06X-01	TCGA-AN-A0FT-01	TCGA-A8-A097-01	TCGA-AR-A255-01	TCGA-E2-A1LB-01	TCGA-D8-A1XT-01	TCGA-AR-A1AX-01	TCGA-B6-A1KN-01	TCGA-AQ-A1H2-01	TCGA-A8-A099-01	TCGA-D8-A140-01	TCGA-EW-A1IW-01	TCGA-BH-A0C0-01	TCGA-D8-A1X5-01	TCGA-BH-A0DD-01	TCGA-BH-A18M-01	TCGA-C8-A1HF-01	TCGA-E2-A14W-01	TCGA-E2-A15H-01	TCGA-BH-A1FU-01	TCGA-A8-A08H-01	TCGA-EW-A1J3-01	TCGA-A8-A08S-01	TCGA-AN-A0FD-01	TCGA-C8-A132-01	TCGA-AO-A0JM-01	TCGA-AR-A1AT-01	TCGA-BH-A0B4-01	TCGA-BH-A18U-01	TCGA-A7-A26H-01	TCGA-BH-A18R-01	TCGA-C8-A135-01	TCGA-BH-A0B7-01	TCGA-BH-A0AW-01	TCGA-AO-A0JE-01	TCGA-A2-A0CX-01	TCGA-A2-A04W-01	TCGA-A1-A0SM-01	TCGA-AR-A0TQ-01	TCGA-A8-A0A7-01	TCGA-A8-A076-01	TCGA-C8-A12P-01	TCGA-C8-A1HL-01	TCGA-B6-A0I9-01	TCGA-D8-A27W-01	TCGA-A8-A08B-01	TCGA-B6-A0RH-01	TCGA-AN-A0FV-01	TCGA-D8-A1XY-01	TCGA-A2-A1G1-01	TCGA-A2-A0YG-01	TCGA-C8-A12Q-01	TCGA-AR-A254-01	TCGA-A1-A0SN-01	TCGA-A8-A08P-01	TCGA-AN-A04C-01	TCGA-AR-A250-01	TCGA-C8-A12L-01	TCGA-AO-A12D-01	TCGA-AO-A12C-01	TCGA-E2-A14P-01	TCGA-BH-A1EN-01	TCGA-EW-A1PD-01	TCGA-D8-A1XJ-01	TCGA-A2-A0SY-01	TCGA-E9-A22D-01	TCGA-E2-A1B0-01	TCGA-D8-A1JA-01	TCGA-C8-A12T-01	TCGA-C8-A278-01	TCGA-C8-A137-01	TCGA-A2-A0EY-01	TCGA-BH-A0DZ-01	TCGA-AN-A0AJ-01	TCGA-D8-A27N-01	TCGA-AQ-A0Y5-01	TCGA-D8-A1J9-01	TCGA-C8-A1HK-01	TCGA-E9-A1N6-01	TCGA-A2-A04X-01	TCGA-A2-A0T1-01	TCGA-D8-A1XS-01	TCGA-A8-A08X-01	TCGA-AQ-A04H-01	TCGA-EW-A1OZ-01	TCGA-A8-A09N-01	TCGA-A2-A0EQ-01	TCGA-E2-A152-01	TCGA-AR-A0TX-01	TCGA-AR-A24U-01	TCGA-C8-A12Z-01	TCGA-B6-A1KF-01	TCGA-A2-A0D1-01	TCGA-AQ-A04L-01	TCGA-A8-A09G-01	TCGA-BH-A1F2-01	TCGA-A8-A07P-01	TCGA-A8-A07B-01
ABCB4	42.47156110556624	62.16265893669387	2.116658318641999	4.684368172725438	87.95476606990955	29.44218484261757	22.934172133798246	39.87084029425247	60.18050032599948	12.150082996717611	47.30163099265789	37.71981085501737	5.466566950444537	52.70557677481869	49.17858906084727	15.830428467261964	46.73580885412693	34.65419682621865	38.17876455680656	27.68053438622095	23.335660051856156	14.900497493160879	45.91573623005471	36.349059258190955	16.448123722644123	28.795034234567336	17.151287758975258	8.447941291436244	21.97511216997497	10.543429494893026	36.21984132953123	45.04587456034625	26.284316536574607	21.73747269090175	18.06692119318474	16.938657248456142	43.631797323212986	27.780105988728053	18.146383411691424	35.88596309756366	21.100391170301712	66.55543792882985	63.0	13.825408990245935	23.950554963562347	38.47862943390389	49.07435403113672	18.973288782425794	23.77820889130306	35.65657273535224	73.07937388736785	45.14172388672718	40.06962872201294	34.38338090624859	36.66101559100056	11.475277481781173	43.200782340603425	0.0	31.289652283029803	40.32663520967471	53.87206634458697	24.19385525021451	11.817118041433954	43.292790913647345	52.59401520053929	33.99313463950822	23.726737588735595	10.991996814044377	83.62429472912476	10.290206747269538	28.83636756597864	35.88596309756366	10.41611604574303	51.74637343700739	40.845483153176296	28.98148629991763	30.66901300528663	53.116626392161024	28.774389046496488	32.243491305525254	35.98837460975355	23.915990113973173	21.76901537975351	25.98339552800359	24.580986571279105	17.648659170152957	56.60012350678477	57.2021281152469	79.00398736545338	111.98598352520385	29.463293071920994	15.495493100716615	34.09029083481259	37.98912843760613	32.4283444116554	30.5594465437875	41.72474570546908	27.482423464079883	29.023078288021484	41.54742746181489	35.52975062805675	33.77551560083386	18.186238620657797	18.945619108401566	11.772774181706398	26.039564301200425	33.679230939032976	64.20903658347027	31.088845948834475	25.354912552562336
ABCB9	372.25040097704436	216.67018497643414	110.58505466074399	107.23325278432205	443.7959987971193	291.6434138659932	206.64855182772288	403.7816277012192	61.12060606525101	164.65064377380534	151.85288794554748	252.52777521485444	366.85668519528014	275.0909905137796	239.18462630417173	154.30925571183266	249.9054503275189	127.08875359521036	211.158695548926	212.19059734542063	607.0305490295857	209.8393004204987	341.03496406786525	157.35295727195813	240.35284119506932	683.0699281357305	122.38301539080233	351.38287400721856	294.2923148953657	201.95273897223282	214.5681161237546	96.34264020742462	138.39161796302156	64.89056533977585	352.36124246953705	81.31023893955859	173.00681496406253	140.14165287282086	138.488270363306	358.28876186600303	319.4598934154225	176.78625737793416	954.425783333691	146.1353405484387	227.17548694962457	233.4278237230402	500.46319236450677	571.8445957302845	590.8139937560568	138.6817762630317	549.6531279141778	201.25057583702457	327.3293703071355	921.2410033642798	178.76894409446368	380.0931853226341	214.2694823049509	189.54659266131705	280.1117603294847	1183.448700319015	266.42675529324305	67.21419110834834	345.3291471488702	139.94612455653927	168.48338053061087	463.9719898734131	313.5182669940865	118.01503265448468	218.3361804207539	152.59633694377158	175.68062123476852	100.19540692530487	189.8109295102619	388.9107173640352	180.7737418935587	146.74853344215538	62.33802601057326	353.8338907265061	158.78631025940635	191.93886842347283	241.86318467595612	195.72002320486558	289.4206041436043	104.49274687401478	283.24674140893154	154.5247093638421	143.90865947016619	428.6446141985492	209.54721759039086	295.11217507975374	179.01832958887937	164.07753608395348	489.12298659599276	101.39489642659233	93.54963606928386	453.14210823790074	230.36069804827798	296.34623537298506	256.245138028489	290.833157809526	235.22207811937227	154.8484503888622	393.25903320886846	104.20066397374092	131.238641623569	161.354099113711	458.20673774695155	97.36001160243279	543.202585271579	154.416945202566
ACAP1	62.25028169604687	238.3536506243725	29.106435440441203	94.40546475513095	70.80438275395103	84.6867364466203	70.11095863392599	21.424439185291938	141.0248924246842	21.76901537975351	159.45222661640844	264.57950376079634	44.22347660424734	39.02973056362451	79.33740744208913	72.61868117443878	19.763820271026937	79.11497335385563	581.0502902968394	35.860404555179436	47.16789591715415	30.867192099022656	127.17756873105088	100.54673192846631	454.7187754252784	57.60695593076005	68.98626927901644	64.66260130157703	227.17548694962457	5.272323632605907	22.5393079336918	198.32792091178538	227.17548694962457	19.39297003710819	43.879976020556825	55.02504510043289	286.41668405084374	41.400224545446655	220.78223523842223	103.11253736091217	62.60198997264354	90.58249728146642	85.28273483117162	95.402589864564	315.48646679576376	361.5409121829234	219.09766047820966	85.94312221113248	21.069774749232963	32.52115606719352	234.56803855996802	643.0371055800409	49.94963832184192	51.200799573696635	9.807792676285098	77.73864606407321	84.15385862916396	59.17114896058409	46.078615867383625	13.825408990245935	22.134916712731957	96.47767934100874	27.90004832485831	68.64751626693148	111.5950817180718	157.7926141075698	231.16392420688462	76.97825687521225	81.94022178773332	49.45761113960181	286.41668405084374	13.084144217010417	142.60876550790206	6.3513030678324	30.038781130935522	10.567458356365979	193.0117205133309	726.599126108856	62.955653951388946	3.2515826974342135	50.66086876830495	141.22191726785198	4.2488450183678435	164.99546299532923	46.60364039790415	205.5002903608644	88.38742607791346	8.821885471320485	29.043895914094463	25.01009926349825	20.902141009469418	313.95458425629283	467.8556474460804	45.88322798756281	189.8109295102619	38.20593062094961	90.01295427758552	68.50283880462682	604.0875120303949	37.58585048610432	312.64744496759687	254.29120034612987	4.426417309790687	2.8423794558139064	33.896247445288246	12.81343293719059	187.57570378450947	4.5867141298695895	38.369323032036604	7.609920998270379
ACHE	7.293608808157767	13.86657078801461	3.7043650011638594	28.795034234567336	4.641191841937558	4.003716320453065	5.289738337122654	7.25346543441087	24.421900803075353	15.69101749647773	13.641586690046854	97.90695035494232	21.362351549617067	3.737086447414531	4.073565597303468	9.000498420681673	4.49454493371849	67.97492128279492	51.782947111045225	6.70075554481401	32.105522608605085	4.259771040820284	4.708058022871515	8.747282109401532	89.07157602082542	4.799787331515407	1.7510836362794873	6.977850010816558	6.235035020488705	2.8744727569065107	15.69101749647773	17.32828636767612	20.932524879675256	1.672148156780199	3.2251425014074293	34.80278723314278	32.03675313546374	15.245857613910879	17.113582433770773	9.607406082389264	4.571245922676141	4.962841547195683	53.493037295932474	14.746944352540801	75.05651872364362	52.63117661874871	14.605687384442268	2.826432632367497	26.474093966008127	4.735820992063309	207.36945537803118	137.8131083319122	4.783729178182989	22.5393079336918	3.098227292131206	12.746572079154959	191.6715836686166	4.418899909941472	7.568246585531638	39.95591724301785	3.3049604991351877	11.000311914286545	5.906716468595295	7.760419766348599	5.811629661991561	28.54823394334063	12.059248738414425	24.124099797554315	26.493144158309924	68.45467980043563	12.014067170114014	42.20121552392786	134.95637587140774	31.42422080509074	4.388934307462762	9.360343990835402	19.506366786563095	19.591827956820328	12.996556238493147	25.191013810905734	16.448123722644123	7.310872826381315	0.0	8.050515702767202	16.10089585937613	11.960055578112735	29.463293071920994	122.46856762676966	1.046274939468864	17.00093575502095	9.973866308724782	22.344325507842804	40.06962872201294	9.644232328645488	13.211628733478475	9.112024787622454	7.242031628960596	2.6175175102443524	77.52063854424345	13.064632974588589	26.742002032469966	60.56335709854558	2.95040344578149	18.46755773814509	10.826899450190732	0.8269029548641182	17.138710604454758	3.9760466131938754	3.7998855294928617	5.071277011896216
ACP5	1721.1558584396073	2664.1481199450814	579.0365492714487	246.62274038116675	2451.4363870595657	1127.3508386576498	1233.7472155553382	639.4756890179925	1561.8894299756118	530.8958608884041	629.7830136042271	894.7795992635617	1540.3726693489327	1870.5268100698113	1909.851566667382	888.5919975942386	817.0243624439275	1540.3726693489327	799.0797492964531	492.19008973831563	1806.7757364032616	1583.7065533874081	2875.303105511419	548.8902894695036	2573.3633910207045	2400.9659760268887	499.0747668286608	551.5648570902665	2193.992051274328	290.42887144316893	1437.1515527557094	1066.4849391013088	6381.916236578817	728.1137001457006	982.6491406883603	1313.2281191044133	1044.5164167241655	2335.2840900985307	2018.8045788024	655.2037371700183	1313.2281191044133	1806.7757364032616	485.4001960319417	400.4287124867779	1745.1962583407749	2915.4548005828024	885.5142430921301	1794.2885172552405	949.1424399065943	865.4664029186969	1369.0378161009787	2816.109643550197	3190.4581182894085	1477.5834962150354	1167.1420450492653	1359.574273634828	1697.446429827977	788.0648149590099	763.8324900415197	1794.2885172552405	1208.3364853038393	759.6030953783442	1199.9829880134444	2061.24496651616	2240.1135001819957	1923.1425903902964	3081.7453386978655	652.9334447080395	1437.1515527557094	741.3727784339719	1551.0937641066473	1037.2945073049896	830.7464538687848	480.0356475975741	628.036533988173	718.5743745058402	692.6191884725077	2664.1481199450814	1216.7480857627863	373.2867067904085	927.0122247857496	2271.398278794947	223.56666847560246	1977.2376016380827	992.2409961899361	2591.269504451133	2400.9659760268887	2976.7357154719944	1151.0598883213408	298.6220522174951	1037.2945073049896	1857.5992300895448	3901.005239987967	1030.12248325808	1909.851566667382	2319.146197085795	1857.5992300895448	501.8554727748565	1437.1515527557094	664.3639999771852	1923.1425903902964	1769.5722497185068	530.1590075215927	135.4283822166967	571.4476676945211	494.58887776959335	328.69769715451537	1051.7885584958115	1268.4606847375226	174.94735303321966
ADAM28	74.53115797351691	116.1326935203749	5.821079134143654	39.842520602526506	121.8709454129802	115.16245188059662	148.6034878158394	23.726737588735595	117.43896678884508	56.68002960709312	193.95535868201748	231.32490376119324	57.12149873417664	24.49248308113864	114.12042395491228	144.6134691676806	103.76405524362293	83.33151691098494	162.1437602968655	39.33610853065553	55.45384737261929	70.80438275395103	230.8422996525627	320.3496297683565	207.36945537803118	209.8393004204987	65.1193208117845	107.60901141835471	108.13726614629843	11.501246082757076	22.5393079336918	93.54963606928386	223.25556865718423	123.75899275411818	49.98496616227731	42.3211609296787	130.1432733481986	16.888989615453795	135.33385003435748	42.92590180015716	77.03232602088343	194.49663973896978	76.38596325333513	96.74831986948489	126.91130790277789	178.2712090735623	175.3136059370417	44.38048114174266	34.0416790653944	117.76780498832422	77.73864606407321	678.8157610918076	90.01295427758552	53.116626392161024	99.63581339396244	56.40084221836894	134.2045600450377	40.64293937414187	17.18907157177622	47.637595404848504	83.27308301179158	106.41115354963738	212.63437597578468	246.79443888479668	327.7848471012931	128.96686091128703	103.32925854753606	31.559350147285976	169.66223066767344	58.96297259983526	158.12315761970427	133.830212602219	47.67132010371231	288.6165024885503	36.11678894417389	55.25853189835437	166.61413415469625	165.80283511850172	70.90399379402524	97.49646209029525	40.90353353867406	305.979817930525	14.86746769181269	603.2492637881348	139.84846199886556	71.75628628710488	115.88937600153491	82.57502637369072	246.45116084863324	77.03232602088343	65.07350627092748	69.22924400507152	184.33608606458353	146.74853344215538	231.16392420688462	52.89202903093865	72.77192619512732	34.902191376975516	92.4420486818894	268.66042520443784	182.0380782542964	309.4032816798044	28.020490525860577	14.681590645469932	10.36085886834742	38.86359729822317	118.18013693826934	40.041171288391936	123.6725463735349	22.81832408266463
ADAMDEC1	272.2352865382297	290.2269383353612	52.40859399394617	266.0562799436437	419.51107878505803	263.8441808688407	605.7674987220897	7.25346543441087	553.0990179971656	16.195986765688023	128.6070153408631	255.532890900386	604.5070721250014	4.983543033449561	80.40243243158874	376.1514075690187	85.34256219774075	171.44589783880832	494.9325128840336	52.445626843415646	14.295125081499874	38.34204375214656	396.00132164966624	108.74413268917394	1322.3692985727914	175.43585958088065	304.70577589109496	13.590930648316304	582.2618891377224	1.4368205273503825	3.620343138214337	90.07606151901405	390.2643893158827	24.7589164038759	95.46943421173641	51.74637343700739	281.8709081087774	58.26054544174871	389.1810765669806	108.8963758640325	216.9721491837299	175.68062123476852	77.24897777229239	31.80855161243501	287.41452249530363	808.0023033480983	321.68886824524424	54.10074805368985	74.00942615516888	12.623259323983122	254.4682160637571	1477.5834962150354	85.82267695665102	129.1471581813704	186.92328141236513	145.93150897344023	175.92572243565866	98.94067105374604	188.75577725476285	14.977834657616466	115.00152809821877	280.89224911307855	75.4794371108341	92.24794328947266	1013.1111008594178	91.41146851343977	713.1087571714078	63.13322272509646	558.114519421774	83.50706182496	480.70296704705953	5.067070181497771	221.39799939855965	6.66879550794381	54.67663057335363	13.28075154356763	101.75038575564203	857.6938208675139	339.3794196945189	103.76405524362293	13.33033072145359	739.830661565709	21.23869151747739	198.32792091178538	26.265411042395712	325.74016482021204	319.4598934154225	10.942227066375626	92.11876375262449	102.0356656155036	79.84014475813117	281.8709081087774	710.6381285592764	126.82267726093164	327.7848471012931	72.26234627831583	175.92572243565866	5.671448350599712	905.397454929454	34.827612436935645	691.1783465104006	614.2376573577478	80.1770495568555	1.4199881784385853	9.41795351655223	3.307945504772193	187.96824392740265	17.726378263593443	27.640802269695115	10.991996814044377
ADAMTS3	19.53481436100647	23.624115522573796	170.96843849232602	15.392909168524824	9.867890276391556	10.810515245462662	12.342896701199424	10.876188565032392	96.20778814812988	38.97427602090807	28.939951930604803	40.412660943451336	8.447941291436244	31.968126515842386	26.89626366518598	46.24206098185066	23.812582603104154	75.16202856362726	60.095744904941874	30.889288410491773	4.767715485840899	10.647916391992691	6.674112954602115	72.1608534664983	17.817460004655437	12.214042638971517	9.105018094766391	51.41834866302899	36.530718375420136	8.145106683312289	16.10089585937613	152.06493398734378	149.64406236400225	23.083947958577074	8.706828481989541	14.115952655955299	64.0735790906852	8.170497485827022	74.11348341000655	26.91560658466427	12.3059535739985	29.50555344922109	138.7786298554435	51.60033198687046	115.8083825335618	41.87307527769093	37.319318547805715	28.650817980491862	252.879483069003	37.88117734096053	24.351513949599006	26.703570096629065	17.050914199304177	55.02504510043289	53.682223416942904	10.519450548117488	14.476421273822913	7.06681963915676	11.34624140047148	11.134140362995542	24.124099797554315	85.22294891940416	19.364718964415086	48.97033552687302	15.69101749647773	26.303235139586157	17.687478313809887	25.172865873848995	32.01386173764348	36.014021884969196	49.00498433102832	43.91109523325041	19.620394087760257	12.068303857760366	47.94196089224855	28.080899726352644	44.254833995939045	6.185058983071475	108.59210042194647	28.16164098038854	20.886964862439854	26.91560658466427	30.80099498632177	28.54823394334063	11.016959415527433	11.363368794367798	22.183074472878065	30.01727414192208	24.071909982378898	7.503165394868427	20.902141009469418	11.176267046714868	85.76251691520007	18.698310613518657	39.64483144124126	27.32492046654544	19.995380073471367	9.161207860310318	23.624115522573796	24.14152053336257	29.78167854927279	89.07157602082542	39.842520602526506	59.17114896058409	6.589474521123631	16.124619174825984	12.241549057251286	82.22816937910271	8.292069855405778	15.21211040254537
ADRB2	107.60901141835471	38.533396388061725	8.46760817402057	97.08767745329816	17.98778876250451	12.613819672104649	17.63573738349529	22.73591894145795	105.66921051637996	83.50706182496	57.60695593076005	114.52009311519106	4.471741215609963	19.922741576588137	122.81137019058338	39.72943792883017	31.446703353280924	19.83590703310446	119.42574176176488	19.520585644195968	8.279197236043474	7.718016897706624	31.0	71.05366951275282	50.2684721657358	12.214042638971517	53.91011394743621	58.38390249416211	50.19744821329616	11.501246082757076	13.28075154356763	60.64876121728949	154.09410053507114	29.760349708440373	21.61173830212367	6.584215721029163	39.00199368272669	7.627843453555613	37.319318547805715	36.530718375420136	25.318402198798857	36.817969501899704	44.56960625910629	131.78975188039826	158.01290006840821	35.65657273535224	294.9069968780284	49.63278727586882	51.85617055588608	13.88719452324825	59.67372576823327	96.61290580840218	15.552761304302543	254.4682160637571	15.484063257921193	14.977834657616466	25.75988479725001	30.911400043266234	41.962320088968426	69.91407026335524	24.457167480157395	19.520585644195968	24.28132197962807	39.70121621579437	30.515726172657615	24.369092371529103	16.888989615453795	19.506366786563095	17.93521634804114	19.000996841363346	150.90231010003617	19.83590703310446	60.478071293022516	15.245857613910879	35.783835137109676	12.379942398625005	67.26148997323293	51.056268680456085	16.888989615453795	32.777718964414944	18.22617679242961	226.8593877126392	48.31655093493809	63.66889257515287	11.861615851890424	24.830434384152476	34.09029083481259	14.823534662094904	179.2680610447463	44.00458239721984	8.075643879487632	26.68437409871963	63.66889257515287	36.24564910086835	81.08234257678387	10.876188565032392	120.68436495741678	45.81827906253843	26.9349629162804	30.08183985733227	65.99585804637285	58.26054544174871	10.818704508660486	2.3682518144336635	5.648366892749183	314.6101953187344	43.47738303495478	67.26148997323293	42.14136741558581	125.9397415345015
AIF1	182.29199887374637	796.8645295723521	131.33033423973936	218.18420084389294	386.2174073046946	473.0843635339897	278.75110120984385	80.1208014102032	606.1882236984055	178.14699079618512	598.6596127840305	708.6677814530123	303.01527451479285	441.0298539900989	352.36124246953705	376.67461301320685	263.2940250837098	434.0387195589891	622.826055001698	184.72188260277494	404.0622982069506	230.04018623038212	235.87793357769016	382.4779992125907	775.5849832317149	330.7608871509335	186.66294492021885	276.24161165463676	647.9664112816256	70.90399379402524	130.7811306795517	323.9333468210699	2609.300164749848	299.03770462067536	175.19143700360928	323.0336880563916	413.1472503612101	275.0909905137796	590.4039216914351	484.38980614586643	296.1402020822323	300.079360074487	217.88055754034502	421.5563691584802	437.97653075669547	764.3628153010885	653.8406176140437	432.23320145934844	323.708198227422	427.7521216043143	349.9203980748041	1397.8252229165003	314.6101953187344	259.83614633388123	379.03803408103664	209.98549374802957	279.91697602028626	198.74284292446814	187.05358505962352	182.0380782542964	259.1139566063876	525.0295369620294	177.156338154381	337.2626318485161	625.4258770595158	394.3536681429941	691.6582942977404	296.9651928069468	434.0387195589891	141.32053216218964	577.0297752607395	216.06751094608592	221.86094420380775	218.18420084389294	229.8800968658559	144.916578904763	475.06013061793874	1175.2671155169633	321.9126166608001	205.6434750732198	397.3796103963743	634.1704564302792	105.15290186424856	420.0944351807817	632.4118290878325	524.6650474086396	587.1335577584816	313.0825541769738	353.34232730917876	194.09053828349042	321.68886824524424	543.5799285213106	753.8258392530441	313.0825541769738	519.9496023565756	181.02590855517104	337.2626318485161	155.82372248379843	710.6381285592764	390.2643893158827	535.7103874646674	534.9668643709831	113.08774347481229	73.38810288115953	93.68080059192562	301.7535360625007	345.8095942362539	194.49663973896978	439.1953209564193	179.2680610447463
